name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bangalore,2022-01-17,27,18,21.8,27.2,18,21.8,16.1,73.2,0,0,0,rain,0,0,38.5,25.4,88.7,1019.3,56.6,6,232.7,20.2,9,10,2022-01-17T06:46:04,2022-01-17T18:13:25,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-18,26.9,15,21,27,15,21,15.2,72.5,0,0,0,rain,0,0,26.3,20.2,76.2,1018.6,48.4,5.6,218.7,18.8,9,10,2022-01-18T06:46:11,2022-01-18T18:13:57,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-19,27.1,16,21.5,26.8,16,21.4,13.9,66.2,0,0,0,,0,0,25.2,14.8,72.9,1017.1,38.4,5.8,251.8,21.6,9,10,2022-01-19T06:46:18,2022-01-19T18:14:29,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-20,29.9,14.5,21.8,28.7,14.5,21.6,12.4,60.2,0,0,0,,0,0,18.4,11.2,8.6,1015.4,18.9,5.6,254.2,21.8,9,10,2022-01-20T06:46:23,2022-01-20T18:15:00,0.58,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-21,31.3,15,22.7,29.4,15,22.3,11.5,56.1,0,0,0,,0,0,20.9,18.3,348.1,1015.5,13.7,6.1,255.2,21.9,9,10,2022-01-21T06:46:26,2022-01-21T18:15:31,0.62,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-22,30.9,16,22.5,29.5,16,22.2,12.2,56.5,0,0,0,,0,0,14,14.6,279.4,1014.1,13.3,5.9,255.6,22.1,9,10,2022-01-22T06:46:29,2022-01-22T18:16:01,0.65,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-23,30.3,16,22.8,28.9,16,22.5,10.6,50.7,0,0,0,,0,0,15.8,14.9,261.6,1014,18.7,6.7,254.7,21.9,9,10,2022-01-23T06:46:31,2022-01-23T18:16:31,0.69,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-24,28.9,15.5,22,27.6,15.5,21.8,10.9,53.1,0,0,0,,0,0,15.5,12.8,269,1013.5,18.8,7.1,257.5,22.5,9,10,2022-01-24T06:46:32,2022-01-24T18:17:01,0.72,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-25,28,16,22,27.6,16,22,13.8,62.6,0,0,0,,0,0,20.9,11.2,175.3,1013.6,45,5.7,249.1,21.4,9,10,2022-01-25T06:46:31,2022-01-25T18:17:30,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-26,28,17.5,22.4,28.1,17.5,22.5,15.8,68.1,0.8,100,16.67,rain,0,0,21.6,18.1,140.7,1014.1,52.6,5.9,224.8,19.3,9,10,2022-01-26T06:46:30,2022-01-26T18:17:59,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
